Age,18,19,20,21,22,23,24,25,26,27,28,29,30
0,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
1,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
2,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
3,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
4,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
5,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
6,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
7,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
8,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
9,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
10,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
11,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
12,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
13,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
14,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
15,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
16,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
17,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
18,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
19,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
20,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
21,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
22,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
23,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
24,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
25,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
26,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
27,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
28,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
29,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
30,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
31,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
32,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
33,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
34,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
35,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
36,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
37,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
38,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
39,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
40,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
41,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
42,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
43,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
44,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
45,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
46,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
47,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
48,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
49,1,1,1,1,1,1,1,1.12,1.12,1.12,1.12,1.12,1.23
