Age,18,25,30,50
0,1,1,1.89,1.89
1,1,1,1.89,1.89
2,1,1,1.89,1.89
3,1,1,1.89,1.89
4,1,1,1.89,1.89
5,1,1,1.89,1.89
6,1,1,1.89,1.89
7,1,1,1.89,1.89
8,1,1,1.89,1.89
9,1,1,1.89,1.89
10,1,1,1.89,1.89
11,1,1,1.89,1.89
12,1,1,1.89,1.89
13,1,1,1.89,1.89
14,1,1,1.89,1.89
15,1,1,1.89,1.89
16,1,1,1.89,1.89
17,1,1,1.89,1.89
18,1,1,1.89,1.89
19,1,1,1.89,1.89
20,1,1,1.89,1.89
21,1,1,1.89,1.89
22,1,1,1.89,1.89
23,1,1,1.89,1.89
24,1,1,1.89,1.89
25,1,1,1.89,1.89
26,1,1,1.89,1.89
27,1,1,1.89,1.89
28,1,1,1.89,1.89
29,1,1,1.89,1.89
30,1,1,1.89,1.89
31,1,1,1.89,1.89
32,1,1,1.89,1.89
33,1,1,1.89,1.89
34,1,1,1.89,1.89
35,1,1,1.89,1.89
36,1,1,1.89,1.89
37,1,1,1.89,1.89
38,1,1,1.89,1.89
39,1,1,1.89,1.89
40,1,1,1.89,1.89
41,1,1,1.89,1.89
42,1,1,1.89,1.89
43,1,1,1.89,1.89
44,1,1,1.89,1.89
45,1,1,1.89,1.89
46,1,1,1.89,1.89
47,1,1,1.89,1.89
48,1,1,1.89,1.89
49,1,1,1.89,1.89
50,1,1,1.89,1.89
51,1,1,1.89,1.89
52,1,1,1.89,1.89
53,1,1,1.89,1.89
54,1,1,1.89,1.89
55,1,1,1.89,1.89
56,1,1,1.89,1.89
57,1,1,1.89,1.89
58,1,1,1.89,1.89
59,1,1,1.89,1.89
60,1,1,1.89,1.89
61,1,1,1.89,1.89
62,1,1,1.89,1.89
63,1,1,1.89,1.89
64,1,1,1.89,1.89
65,1,1,1.89,1.89
66,1,1,1.89,1.89
67,1,1,1.89,1.89
68,1,1,1.89,1.89
69,1,1,1.89,1.89
70,1,1,1.89,1.89
71,1,1,1.89,1.89
72,1,1,1.89,1.89
73,1,1,1.89,1.89
74,1,1,1.89,1.89
75,1,1,1.89,1.89
76,1,1,1.89,1.89
77,1,1,1.89,1.89
78,1,1,1.89,1.89
79,1,1,1.89,1.89
80,1,1,1.89,1.89
81,1,1,1.89,1.89
82,1,1,1.89,1.89
83,1,1,1.89,1.89
84,1,1,1.89,1.89
85,1,1,1.89,1.89
86,1,1,1.89,1.89
87,1,1,1.89,1.89
88,1,1,1.89,1.89
89,1,1,1.89,1.89
90,1,1,1.89,1.89
91,1,1,1.89,1.89
92,1,1,1.89,1.89
93,1,1,1.89,1.89
94,1,1,1.89,1.89
95,1,1,1.89,1.89
96,1,1,1.89,1.89
97,1,1,1.89,1.89
98,1,1,1.89,1.89
99,1,1,1.89,1.89
100,1,1,1.89,1.89
101,1,1,1.89,1.89
102,1,1,1.89,1.89
103,1,1,1.89,1.89
104,1,1,1.89,1.89
105,1,1,1.89,1.89
106,1,1,1.89,1.89
107,1,1,1.89,1.89
108,1,1,1.89,1.89
109,1,1,1.89,1.89
110,1,1,1.89,1.89
