Age,Male,Female
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1.69,1.84
21,1.69,1.84
22,1.69,1.84
23,1.69,1.84
24,1.69,1.84
25,1.69,1.84
26,1.69,1.84
27,1.69,1.84
28,1.69,1.84
29,1.69,1.84
30,1.69,1.84
31,1.69,1.84
32,1.69,1.84
33,1.69,1.84
34,1.69,1.84
35,1.69,1.84
36,1.69,1.84
37,1.69,1.84
38,1.69,1.84
39,1.69,1.84
40,1.69,1.84
41,1.69,1.84
42,1.69,1.84
43,1.69,1.84
44,1.69,1.84
45,1.69,1.84
46,1.69,1.84
47,1.69,1.84
48,1.69,1.84
49,1.69,1.84
50,1.69,1.84
51,1.69,1.84
52,1.69,1.84
53,1.69,1.84
54,1.69,1.84
55,1.69,1.84
56,1.69,1.84
57,1.69,1.84
58,1.69,1.84
59,1.69,1.84
60,1.69,1.84
61,1.69,1.84
62,1.69,1.84
63,1.69,1.84
64,1.69,1.84
65,1.69,1.84
66,1.69,1.84
67,1.69,1.84
68,1.69,1.84
69,1.69,1.84
70,1.69,1.84
71,1.69,1.84
72,1.69,1.84
73,1.69,1.84
74,1.69,1.84
75,1.69,1.84
76,1.69,1.84
77,1.69,1.84
78,1.69,1.84
79,1.69,1.84
80,1.69,1.84
81,1.69,1.84
82,1.69,1.84
83,1.69,1.84
84,1.69,1.84
85,1.69,1.84
86,1.69,1.84
87,1.69,1.84
88,1.69,1.84
89,1.69,1.84
90,1.69,1.84
91,1.69,1.84
92,1.69,1.84
93,1.69,1.84
94,1.69,1.84
95,1.69,1.84
96,1.69,1.84
97,1.69,1.84
98,1.69,1.84
99,1.69,1.84
100,1.69,1.84
101,1.69,1.84
102,1.69,1.84
103,1.69,1.84
104,1.69,1.84
105,1.69,1.84
106,1.69,1.84
107,1.69,1.84
108,1.69,1.84
109,1.69,1.84
